ID,Type,Name,Name_KR,Description,StatCategory,MinValue,MaxValue,IconPath
18,Art,Art,예술,"딸의 예술성과 미적 능력을 알려주며 높으면 예술계 엔딩을 보며, 예술대회 그림의 점수와 연관이 높다.",Social,1,999,
19,Speech,Speech,화술,딸이 말을 잘하는 능력으로 후궁과의 인맥과 광대와의 대화에 필요한 스텟이다.,Social,1,999,
20,Cooking,Cooking,요리,딸의 요리실력 능력치로 요리대회에서 매우 필수적인 능력치다.,Lyrics,1,999,
21,Housework,Housework,청소세탁,청소와 세탁 등 집안일을 하는 능력치다.,Lyrics,1,999,
22,Temperament,Temperament,성품,딸의 마음가짐과 성격으로 왕비와의 인맥에서 필수적이다.,Lyrics,1,999,
23,Motherhood,Motherhood,모성,,Hidden,1,999,
24,RelationPrince,RelationPrince,왕자와의 관계,,Hidden,1,999,
25,RelationFather,RelationFather,아버지와의 관계,,Hidden,1,999,
26,RelationButler,RelationButler,집사와의 관계,,Hidden,1,999,
27,RelationDemonKing,RelationDemonKing,마왕과의 관계,,Hidden,1,999,
28,KillCount,KillCount,몬스터 킬,,Hidden,1,999,
